Ano;Mês;Países;"Bloco Econômico";Via;"Código NCM";"Descrição NCM";"Valor FOB (US$)";"Quilograma Líquido"
2020;12;"África do Sul";África;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";27150;345
2020;12;Alemanha;Europa;AEREA;29322000;Lactonas;10885;800
2020;12;Alemanha;Europa;AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";610871;519
2020;12;Alemanha;Europa;AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";6599434;16009
2020;12;Alemanha;Europa;MARITIMA;29322000;Lactonas;2714440;46725
2020;12;Alemanha;Europa;MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";2176584;5805
2020;12;Alemanha;Europa;MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";198928;1765
2020;12;Alemanha;"União Europeia - UE";AEREA;29322000;Lactonas;10885;800
2020;12;Alemanha;"União Europeia - UE";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";610871;519
2020;12;Alemanha;"União Europeia - UE";AEREA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";6599434;16009
2020;12;Alemanha;"União Europeia - UE";MARITIMA;29322000;Lactonas;2714440;46725
2020;12;Alemanha;"União Europeia - UE";MARITIMA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";2176584;5805
2020;12;Alemanha;"União Europeia - UE";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";198928;1765
2020;12;Argentina;"América do Sul";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";521118;1594
2020;12;Argentina;"América do Sul";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";193758;1164
2020;12;Argentina;"América do Sul";RODOVIARIA;29322000;Lactonas;5000;2000
2020;12;Argentina;"América do Sul";RODOVIARIA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";93626;10174
2020;12;Argentina;"América do Sul";RODOVIARIA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";482891;1772
2020;12;Argentina;"Mercado Comum do Sul - Mercosul";AEREA;30049059;"Outros medicamentos contendo produtos das posições 2930 a 2932, etc, em doses";521118;1594
2020;12;Argentina;"Mercado Comum do Sul - Mercosul";MARITIMA;30049069;"Outros medicamentos contendo compostos heterocíclicos heteroátomos nitrogenados, em doses";193758;1164
2020;12;Argentina;"Mercado Comum do Sul - Mercosul";RODOVIARIA;29322000;Lactonas;5000;2000
